place,date,time,interviewer,id.individual,choice.card,version,Block,Sum,Sum.1,infmortality.1,reducedvis.1,morbidity.1,cost.1,infmortality.2,reducedvis.2,morbidity.2,cost.2,infmortality.3,reducedvis.3,morbidity.3,cost.3,infmortality.4,reducedvis.4,morbidity.4,cost.4,Q1.air.problem,Q2.affected,Q3.affected.winter,Q4a.ways.affected,Q4b.ways.affected,Q4c.ways.affected,Q4d.ways.affected,Q4e.ways.affected,Q4f.ways.affected,Q4g.text.ways.affected,Q.5.check.air,Q6.check.regular,Q7a.access.data,Q7b.access.data,Q7c.access.data,Q7d.access.data,Q7e.access.data,Q7f.access.data,Q7g.access.data,Q7h.text.access.data,Q8a.pollutant,Q8b.pollutant,Q8c.pollutant,Q8d.pollutant,Q8e.pollutant,Q8f.pollutant,Q8g.pollutant,Q8h.text.pollutant,Q9.comparison.air,Q10.satisfaction.govt,Q11.govt.action,Q11.text.govt.action,Q12.choice,Q13.bid1,Q13.response1,Q14.bid2,Q14.response2,Q15a.who,Q15b.who,Q15c.who,Q15d.who,Q15e.who,Q16a.la,Q16b.la,Q16c.la,Q16d.la,Q16e.la,Q16f.la,Q16g.la,Q16h.la,Q16i.la,Q16j.la,Q16k.la,Q16l.la,Q16m.la,Q16n.la,Q16o.la,Q17.gender.female,Q18.age,Q19.educ,Q20.occupation,Q21.residence,Q22.income,Q23.household,Q24.stay.southdelhi,PTAX,PNOMONEY,POTHER
Okhla,43650,4:00pm,Asif,1,1,1.1,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,1,1,1,0,0,,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,3,4,0,0,2,100,1,200,0,4,5,2,5,2,5,4,3,5,4,5,2,4,5,4,5,5,1,4,4,0,27,2,2,0,1,7,10,0,0,0
Okhla,43650,4:00pm,Asif,1,2,1.1,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,1,1,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,3,4,0,0,1,100,1,200,0,4,5,2,5,2,5,4,3,5,4,5,2,4,5,4,5,5,1,4,4,0,27,2,2,0,1,7,10,0,0,0
Okhla,43650,4:00pm,Asif,1,3,1.1,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,1,1,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,3,4,0,0,1,100,1,200,0,4,5,2,5,2,5,4,3,5,4,5,2,4,5,4,5,5,1,4,4,0,27,2,2,0,1,7,10,0,0,0
Okhla,43650,4:00pm,Asif,1,4,1.1,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,1,1,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,3,4,0,0,3,100,1,200,0,4,5,2,5,2,5,4,3,5,4,5,2,4,5,4,5,5,1,4,4,0,27,2,2,0,1,7,10,0,0,0
Okhla,43650,4:00pm,Asif,1,5,1.1,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,1,1,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,3,4,0,0,2,100,1,200,0,4,5,2,5,2,5,4,3,5,4,5,2,4,5,4,5,5,1,4,4,0,27,2,2,0,1,7,10,0,0,0
Okhla,43654,7:00pm,Asif,2,1,1.2,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,3,0,0,1,200,1,400,1,2,3,2,5,2,5,5,3,5,5,5,4,5,4,5,4,5,4,4,5,0,32,3,3,0,2,8,16,0,0,0
Okhla,43654,7:00pm,Asif,2,2,1.2,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,3,0,0,1,200,1,400,1,2,3,2,5,2,5,5,3,5,5,5,4,5,4,5,4,5,4,4,5,0,32,3,3,0,2,8,16,0,0,0
Okhla,43654,7:00pm,Asif,2,3,1.2,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,3,0,0,1,200,1,400,1,2,3,2,5,2,5,5,3,5,5,5,4,5,4,5,4,5,4,4,5,0,32,3,3,0,2,8,16,0,0,0
Okhla,43654,7:00pm,Asif,2,4,1.2,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,3,0,0,1,200,1,400,1,2,3,2,5,2,5,5,3,5,5,5,4,5,4,5,4,5,4,4,5,0,32,3,3,0,2,8,16,0,0,0
Okhla,43654,7:00pm,Asif,2,5,1.2,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,3,0,0,1,200,1,400,1,2,3,2,5,2,5,5,3,5,5,5,4,5,4,5,4,5,4,4,5,0,32,3,3,0,2,8,16,0,0,0
